"","Name","Clay","Hard","Grass","Played"
"1","Viktor Troicki",0.5,0.5,0.5,89
"2","Kyle Edmund",0.5,0.5,0.5,185
"3","Lucas Pouille",0.5,0.5,0.5,174
"4","Jared Donaldson",0.5,0.5,0.5,83
"5","Jordan Thompson",0.5,0.5,0.5,185
"6","David Ferrer",0.5,0.5,0.5,87
"7","Grigor Dimitrov",0.5,0.5,0.5,281
"8","Nicolas Mahut",0.5,0.5,0.5,56
"9","Sam Groth",0.5,0.5,0.5,7
"10","Rafael Nadal",0.5,0.5,0.5,315
"11","Mischa Zverev",0.5,0.5,0.5,129
"12","Diego Schwartzman",0.5,0.5,0.5,354
"13","Stan Wawrinka",0.5,0.5,0.5,181
"14","Kei Nishikori",0.5,0.5,0.5,202
"15","Dominic Thiem",0.5,0.5,0.5,308
"16","Milos Raonic",0.5,0.5,0.5,177
"17","Rogerio Dutra Silva",0.5,0.5,0.5,49
"18","Renzo Olivo",0.5,0.5,0.5,32
"19","Mikhail Youzhny",0.5,0.5,0.5,55
"20","Aljaz Bedene",0.5,0.5,0.5,179
"21","Yuki Bhambri",0.5,0.5,0.5,32
"22","Benoit Paire",0.5,0.5,0.5,272
"23","Hyeon Chung",0.5,0.5,0.5,106
"24","Dudi Sela",0.5,0.5,0.5,47
"25","Steve Darcis",0.5,0.5,0.5,61
"26","Yen Hsun Lu",0.5,0.5,0.5,33
"27","Daniil Medvedev",0.5,0.5,0.5,382
"28","Jozef Kovalik",0.5,0.5,0.5,55
"29","Roberto Bautista Agut",0.5,0.5,0.5,342
"30","Albert Ramos",0.5,0.5,0.5,296
"31","Novak Djokovic",0.5,0.5,0.5,347
"32","Horacio Zeballos",0.5,0.5,0.5,67
"33","Arthur De Greef",0.5,0.5,0.5,8
"34","Radek Stepanek",0.5,0.5,0.5,5
"35","David Goffin",0.5,0.5,0.5,305
"36","Fernando Verdasco",0.5,0.5,0.5,207
"37","Karen Khachanov",0.5,0.5,0.5,349
"38","Ivo Karlovic",0.5,0.5,0.5,99
"39","Jo-Wilfried Tsonga",0.5,0.5,0.5,138
"40","Dustin Brown",0.5,0.5,0.5,38
"41","Jiri Vesely",0.5,0.5,0.5,169
"42","Tomas Berdych",0.5,0.5,0.5,99
"43","Philipp Kohlschreiber",0.5,0.5,0.5,174
"44","Nicolas Almagro",0.5,0.5,0.5,23
"45","Gerald Melzer",0.5,0.5,0.5,28
"46","Andy Murray",0.5,0.5,0.5,153
"47","Malek Jaziri",0.5,0.5,0.5,119
"48","Steve Johnson",0.5,0.5,0.5,209
"49","Ryan Harrison",0.5,0.5,0.5,99
"50","Jeremy Chardy",0.5,0.5,0.5,189
"51","Feliciano Lopez",0.5,0.5,0.5,180
"52","Joao Sousa",0.5,0.5,0.5,232
"53","Brydan Klein",0.5,0.5,0.5,4
"54","Robin Haase",0.5,0.5,0.5,158
"55","Marcos Baghdatis",0.5,0.5,0.5,70
"56","John Isner",0.5,0.5,0.5,268
"57","Jack Sock",0.5,0.5,0.5,133
"58","Gilles Muller",0.5,0.5,0.5,78
"59","Daniel Evans",0.5,0.5,0.5,214
"60","Matthew Barton",0.5,0.5,0.5,2
"61","Paolo Lorenzi",0.5,0.5,0.5,104
"62","Andrey Kuznetsov",0.5,0.5,0.5,40
"63","Alex De Minaur",0.5,0.5,0.5,272
"64","Marcel Granollers",0.5,0.5,0.5,50
"65","Gastao Elias",0.5,0.5,0.5,29
"66","Pablo Cuevas",0.5,0.5,0.5,172
"67","Pablo Carreno Busta",0.5,0.5,0.5,322
"68","Andrey Rublev",0.5,0.5,0.5,346
"69","Sam Querrey",0.5,0.5,0.5,195
"70","Alexander Bublik",0.5,0.5,0.5,202
"71","Noah Rubin",0.5,0.5,0.5,20
"72","Roger Federer",0.5,0.5,0.5,207
"73","Lukas Lacko",0.5,0.5,0.5,50
"74","Andreas Seppi",0.5,0.5,0.5,167
"75","Nick Kyrgios",0.5,0.5,0.5,205
"76","Dusan Lajovic",0.5,0.5,0.5,247
"77","Bernard Tomic",0.5,0.5,0.5,71
"78","Victor Estrella",0.5,0.5,0.5,28
"79","Marin Cilic",0.5,0.5,0.5,314
"80","Gael Monfils",0.5,0.5,0.5,223
"81","Alexandr Dolgopolov",0.5,0.5,0.5,59
"82","Donald Young",0.5,0.5,0.5,65
"83","Alexander Zverev",0.5,0.5,0.5,387
"84","Frances Tiafoe",0.5,0.5,0.5,275
"85","Yoshihito Nishioka",0.5,0.5,0.5,182
"86","Ernesto Escobedo",0.5,0.5,0.5,50
"87","Gilles Simon",0.5,0.5,0.5,213
"88","Fabio Fognini",0.5,0.5,0.5,290
"89","Andrew Whittington",0.5,0.5,0.5,3
"90","Carlos Berlocq",0.5,0.5,0.5,42
"91","Richard Gasquet",0.5,0.5,0.5,245
"92","Denis Istomin",0.5,0.5,0.5,94
"93","Nicolas Jarry",0.5,0.5,0.5,119
"94","Cristian Garin",0.5,0.5,0.5,177
"95","Tomas Barrios Vera",0.5,0.5,0.5,8
"96","Frederico Ferreira Silva",0.5,0.5,0.5,7
"97","Pedro Sousa",0.5,0.5,0.5,37
"98","Ramkumar Ramanathan",0.5,0.5,0.5,47
"99","Emilio Gomez",0.5,0.5,0.5,22
"100","Roberto Quiroz",0.5,0.5,0.5,18
"101","Gonzalo Escobar",0.5,0.5,0.5,2
"102","Mirza Basic",0.5,0.5,0.5,50
"103","Damir Dzumhur",0.5,0.5,0.5,181
"104","Tomislav Brkic",0.5,0.5,0.5,4
"105","Adrian Ungur",0.5,0.5,0.5,5
"106","Egor Gerasimov",0.5,0.5,0.5,101
"107","Marius Copil",0.5,0.5,0.5,97
"108","Martin Klizan",0.5,0.5,0.5,88
"109","Marton Fucsovics",0.5,0.5,0.5,232
"110","Ricardo Rodriguez",0.5,0.5,0.5,11
"111","Luis David Martinez",0.5,0.5,0.5,6
"112","Jordi Munoz Abreu",0.5,0.5,0.5,4
"113","Ayed Zatar",0.5,0.5,0.5,4
"114","Darian King",0.5,0.5,0.5,26
"115","Bruno Britez",0.5,0.5,0.5,2
"116","Federico Zeballos",0.5,0.5,0.5,7
"117","Marcelo Arevalo",0.5,0.5,0.5,18
"118","Rodrigo Banzer",0.5,0.5,0.5,1
"119","Nicolaas Scholtz",0.5,0.5,0.5,7
"120","Lloyd Harris",0.5,0.5,0.5,134
"121","Vladimir Ivanov",0.5,0.5,0.5,4
"122","Nikoloz Basilashvili",0.5,0.5,0.5,285
"123","Harri Heliovaara",0.5,0.5,0.5,9
"124","George Tsivadze",0.5,0.5,0.5,6
"125","David Agung Susanto",0.5,0.5,0.5,6
"126","Ruben Gonzales",0.5,0.5,0.5,2
"127","Alberto Lim",0.5,0.5,0.5,8
"128","Jirat Navasirisomboon",0.5,0.5,0.5,7
"129","Mohammad Ghareeb",0.5,0.5,0.5,1
"130","Wishaya Trongcharoenchaikul",0.5,0.5,0.5,17
"131","Laurynas Grigelis",0.5,0.5,0.5,14
"132","Antso Rakotondramanga",0.5,0.5,0.5,2
"133","Jean Jacques Rakotohasy",0.5,0.5,0.5,1
"134","Frederik Nielsen",0.5,0.5,0.5,10
"135","Reda El Amrani",0.5,0.5,0.5,4
"136","Soren Hess Olesen",0.5,0.5,0.5,5
"137","Wilfredo Gonzalez",0.5,0.5,0.5,7
"138","Manuel Sanchez",0.5,0.5,0.5,8
"139","Christopher Diaz Figueroa",0.5,0.5,0.5,6
"140","Blaz Kavcic",0.5,0.5,0.5,14
"141","Grega Zemlja",0.5,0.5,0.5,3
"142","Thomas Oger",0.5,0.5,0.5,1
"143","Casper Ruud",0.5,0.5,0.5,262
"144","Viktor Durasovic",0.5,0.5,0.5,22
"145","Simen Sunde Bratholm",0.5,0.5,0.5,3
"146","Aqeel Khan",0.5,0.5,0.5,11
"147","Aisam Ul Haq Qureshi",0.5,0.5,0.5,8
"148","Hamid Reza Nadaf",0.5,0.5,0.5,1
"149","Shahin Khaledan",0.5,0.5,0.5,3
"150","Patrik Rosenholm",0.5,0.5,0.5,2
"151","Isak Arvidsson",0.5,0.5,0.5,2
"152","Cem Ilkel",0.5,0.5,0.5,25
"153","Marsel Ilhan",0.5,0.5,0.5,7
"154","Altug Celikbilek",0.5,0.5,0.5,20
"155","Hong Kit Jack Wong",0.5,0.5,0.5,6
"156","Nam Hoang Ly",0.5,0.5,0.5,5
"157","Karan Rastogi",0.5,0.5,0.5,1
"158","Ruben Bemelmans",0.5,0.5,0.5,39
"159","Vasek Pospisil",0.5,0.5,0.5,116
"160","Franko Skugor",0.5,0.5,0.5,14
"161","Yasutaka Uchiyama",0.5,0.5,0.5,34
"162","Pierre Hugues Herbert",0.5,0.5,0.5,169
"163","Paul Henri Mathieu",0.5,0.5,0.5,10
"164","Kenny De Schepper",0.5,0.5,0.5,11
"165","Illya Marchenko",0.5,0.5,0.5,25
"166","Alejandro Falla",0.5,0.5,0.5,2
"167","Roberto Carballes Baena",0.5,0.5,0.5,149
"168","Giovanni Lapentti",0.5,0.5,0.5,2
"169","Matthew Ebden",0.5,0.5,0.5,90
"170","Nicolas Kicker",0.5,0.5,0.5,45
"171","Rajeev Ram",0.5,0.5,0.5,4
"172","Santiago Giraldo",0.5,0.5,0.5,27
"173","Janko Tipsarevic",0.5,0.5,0.5,35
"174","Federico Gaio",0.5,0.5,0.5,16
"175","Thomaz Bellucci",0.5,0.5,0.5,41
"176","Radu Albot",0.5,0.5,0.5,179
"177","Cedrik Marcel Stebe",0.5,0.5,0.5,43
"178","Jerzy Janowicz",0.5,0.5,0.5,13
"179","Daniel Brands",0.5,0.5,0.5,8
"180","Guido Andreozzi",0.5,0.5,0.5,32
"181","Alessandro Giannessi",0.5,0.5,0.5,24
"182","Leonardo Mayer",0.5,0.5,0.5,109
"183","Tommy Robredo",0.5,0.5,0.5,21
"184","Thiago Monteiro",0.5,0.5,0.5,162
"185","Federico Delbonis",0.5,0.5,0.5,185
"186","Reilly Opelka",0.5,0.5,0.5,163
"187","Mikhail Kukushkin",0.5,0.5,0.5,163
"188","Tim Smyczek",0.5,0.5,0.5,30
"189","Taylor Fritz",0.5,0.5,0.5,291
"190","Evgeny Donskoy",0.5,0.5,0.5,76
"191","Borna Coric",0.5,0.5,0.5,237
"192","Zhe Li",0.5,0.5,0.5,10
"193","Yibing Wu",0.5,0.5,0.5,16
"194","Zhizhen Zhang",0.5,0.5,0.5,23
"195","Guillermo Garcia Lopez",0.5,0.5,0.5,75
"196","Juan Martin del Potro",0.5,0.5,0.5,130
"197","Julien Benneteau",0.5,0.5,0.5,46
"198","Norbert Gombos",0.5,0.5,0.5,71
"199","Jan Lennard Struff",0.5,0.5,0.5,278
"200","Sergiy Stakhovsky",0.5,0.5,0.5,43
"201","Adrian Mannarino",0.5,0.5,0.5,300
"202","Guido Pella",0.5,0.5,0.5,188
"203","Facundo Bagnis",0.5,0.5,0.5,80
"204","Joao Souza",0.5,0.5,0.5,4
"205","Stephane Robert",0.5,0.5,0.5,16
"206","Kevin Anderson",0.5,0.5,0.5,189
"207","Henri Laaksonen",0.5,0.5,0.5,96
"208","Bjorn Fratangelo",0.5,0.5,0.5,44
"209","Peter Gojowczyk",0.5,0.5,0.5,147
"210","Ilya Ivashka",0.5,0.5,0.5,146
"211","Dmitry Popko",0.5,0.5,0.5,10
"212","Ze Zhang",0.5,0.5,0.5,11
"213","Prajnesh Gunneswaran",0.5,0.5,0.5,39
"214","Temur Ismailov",0.5,0.5,0.5,2
"215","Lukas Mugevicius",0.5,0.5,0.5,1
"216","August Holmgren",0.5,0.5,0.5,5
"217","Christian Lindell",0.5,0.5,0.5,2
"218","Elias Ymer",0.5,0.5,0.5,67
"219","Maximo Gonzalez",0.5,0.5,0.5,2
"220","Tommy Haas",0.5,0.5,0.5,20
"221","Laslo Djere",0.5,0.5,0.5,209
"222","Gianluigi Quinzi",0.5,0.5,0.5,5
"223","Amine Ahouda",0.5,0.5,0.5,7
"224","Yuichi Sugita",0.5,0.5,0.5,95
"225","Albert Montanes",0.5,0.5,0.5,2
"226","Joao Domingues",0.5,0.5,0.5,13
"227","Taro Daniel",0.5,0.5,0.5,135
"228","Yannick Hanfmann",0.5,0.5,0.5,68
"229","Florian Mayer",0.5,0.5,0.5,44
"230","Konstantin Kravchuk",0.5,0.5,0.5,14
"231","Marco Trungelliti",0.5,0.5,0.5,22
"232","Simone Bolelli",0.5,0.5,0.5,19
"233","Benjamin Bonzi",0.5,0.5,0.5,73
"234","Stefano Napolitano",0.5,0.5,0.5,3
"235","Thanasi Kokkinakis",0.5,0.5,0.5,77
"236","Stefan Kozlov",0.5,0.5,0.5,26
"237","Denis Shapovalov",0.5,0.5,0.5,308
"238","Mohamed Safwat",0.5,0.5,0.5,25
"239","Daniel Altmaier",0.5,0.5,0.5,55
"240","Cameron Norrie",0.5,0.5,0.5,276
"241","Thomas Fabbiano",0.5,0.5,0.5,69
"242","Lukas Rosol",0.5,0.5,0.5,22
"243","Sebastian Ofner",0.5,0.5,0.5,25
"244","Ernests Gulbis",0.5,0.5,0.5,62
"245","Adam Pavlasek",0.5,0.5,0.5,9
"246","Denis Kudla",0.5,0.5,0.5,106
"247","Tobias Kamke",0.5,0.5,0.5,5
"248","Akira Santillan",0.5,0.5,0.5,7
"249","Adrian Menendez Maceiras",0.5,0.5,0.5,16
"250","Frank Dancevic",0.5,0.5,0.5,2
"251","Dennis Novikov",0.5,0.5,0.5,5
"252","Andrej Martin",0.5,0.5,0.5,42
"253","Marco Cecchinato",0.5,0.5,0.5,162
"254","Ivan Dodig",0.5,0.5,0.5,5
"255","Attila Balazs",0.5,0.5,0.5,32
"256","Quentin Halys",0.5,0.5,0.5,39
"257","Tommy Paul",0.5,0.5,0.5,171
"258","Christopher Eubanks",0.5,0.5,0.5,34
"259","John Millman",0.5,0.5,0.5,207
"260","Gleb Sakharov",0.5,0.5,0.5,4
"261","Miljan Zekic",0.5,0.5,0.5,3
"262","Evan King",0.5,0.5,0.5,4
"263","Vincent Millot",0.5,0.5,0.5,9
"264","Peter Polansky",0.5,0.5,0.5,23
"265","Dmitry Tursunov",0.5,0.5,0.5,6
"266","Tennys Sandgren",0.5,0.5,0.5,122
"267","Mitchell Krueger",0.5,0.5,0.5,23
"268","Stefano Travaglia",0.5,0.5,0.5,82
"269","Haydn Lewis",0.5,0.5,0.5,6
"270","Mikael Ymer",0.5,0.5,0.5,129
"271","Markus Eriksson",0.5,0.5,0.5,4
"272","Viktor Galovic",0.5,0.5,0.5,8
"273","Thiemo De Bakker",0.5,0.5,0.5,7
"274","Go Soeda",0.5,0.5,0.5,12
"275","Yaraslav Shyla",0.5,0.5,0.5,3
"276","Marco Chiudinelli",0.5,0.5,0.5,7
"277","Yannick Maden",0.5,0.5,0.5,25
"278","Liam Broady",0.5,0.5,0.5,33
"279","Ricardas Berankis",0.5,0.5,0.5,127
"280","Stefanos Tsitsipas",0.5,0.5,0.5,382
"281","Di Wu",0.5,0.5,0.5,11
"282","Filip Krajinovic",0.5,0.5,0.5,199
"283","Jurgen Zopp",0.5,0.5,0.5,16
"284","Dennis Novak",0.5,0.5,0.5,69
"285","Michael Mmoh",0.5,0.5,0.5,40
"286","Matteo Berrettini",0.5,0.5,0.5,227
"287","Ricardo Ojeda Lara",0.5,0.5,0.5,6
"288","Mackenzie Mcdonald",0.5,0.5,0.5,155
"289","Maximilian Marterer",0.5,0.5,0.5,81
"290","Lorenzo Sonego",0.5,0.5,0.5,193
"291","Jose Rubin Statham",0.5,0.5,0.5,10
"292","Daniel Elahi Galan",0.5,0.5,0.5,72
"293","Alejandro Gonzalez",0.5,0.5,0.5,7
"294","Cristian Rodriguez",0.5,0.5,0.5,1
"295","Jose Hernandez",0.5,0.5,0.5,8
"296","Joao Pedro Sorgi",0.5,0.5,0.5,3
"297","M Abid Ali Khan Akbar",0.5,0.5,0.5,2
"298","Edan Leshem",0.5,0.5,0.5,13
"299","Zsombor Piros",0.5,0.5,0.5,11
"300","Marc Andrea Huesler",0.5,0.5,0.5,44
"301","Pedja Krstin",0.5,0.5,0.5,5
"302","Duilio Beretta",0.5,0.5,0.5,1
"303","Juan Pablo Varillas",0.5,0.5,0.5,32
"304","Jorge Brian Panta Herreros",0.5,0.5,0.5,1
"305","Luis Diego Chavez Villalpando",0.5,0.5,0.5,1
"306","Karim Mohamed Maamoun",0.5,0.5,0.5,7
"307","Youssef Hossam",0.5,0.5,0.5,3
"308","Rodrigo Arus",0.5,0.5,0.5,1
"309","Lamine Ouahab",0.5,0.5,0.5,8
"310","Anthony Jackie Tang",0.5,0.5,0.5,1
"311","Skyler Butts",0.5,0.5,0.5,1
"312","Peter Bothwell",0.5,0.5,0.5,2
"313","Benjamin Hassan",0.5,0.5,0.5,14
"314","Hady Habib",0.5,0.5,0.5,10
"315","Chun Hsin Tseng",0.5,0.5,0.5,22
"316","Ti Chen",0.5,0.5,0.5,2
"317","John Bryan Decasa Otico",0.5,0.5,0.5,4
"318","Luis Patino",0.5,0.5,0.5,7
"319","Ugo Nastasi",0.5,0.5,0.5,2
"320","Bogdan Borza",0.5,0.5,0.5,1
"321","Kamil Majchrzak",0.5,0.5,0.5,66
"322","Hubert Hurkacz",0.5,0.5,0.5,227
