"","Name","Clay","Hard","Grass","Played"
"1","Viktor Troicki",0.466666666666667,0.409836065573771,0.384615384615385,89
"2","Kyle Edmund",0.48780487804878,0.543307086614173,0.470588235294118,185
"3","Lucas Pouille",0.446808510638298,0.533980582524272,0.583333333333333,174
"4","Jared Donaldson",0.266666666666667,0.482758620689655,0.5,83
"5","Jordan Thompson",0.32258064516129,0.466101694915254,0.5,185
"6","David Ferrer",0.514285714285714,0.477272727272727,0.375,87
"7","Grigor Dimitrov",0.555555555555556,0.628140703517588,0.473684210526316,281
"8","Nicolas Mahut",0.333333333333333,0.486486486486487,0.4,56
"9","Sam Groth",0,0.2,0.5,7
"10","Rafael Nadal",0.908333333333333,0.797687861271676,0.818181818181818,315
"11","Mischa Zverev",0.354838709677419,0.375,0.576923076923077,129
"12","Diego Schwartzman",0.649006622516556,0.545945945945946,0.444444444444444,354
"13","Stan Wawrinka",0.581395348837209,0.596774193548387,0.357142857142857,181
"14","Kei Nishikori",0.641791044776119,0.649122807017544,0.666666666666667,202
"15","Dominic Thiem",0.724409448818898,0.633136094674556,0.416666666666667,308
"16","Milos Raonic",0.666666666666667,0.629032258064516,0.724137931034483,177
"17","Rogerio Dutra Silva",0.34375,0.266666666666667,0,49
"18","Renzo Olivo",0.384615384615385,0.2,0,32
"19","Mikhail Youzhny",0.181818181818182,0.371428571428571,0.222222222222222,55
"20","Aljaz Bedene",0.566265060240964,0.426666666666667,0.380952380952381,179
"21","Yuki Bhambri",0,0.481481481481481,0.25,32
"22","Benoit Paire",0.428571428571429,0.432098765432099,0.5,272
"23","Hyeon Chung",0.631578947368421,0.574712643678161,0,106
"24","Dudi Sela",0,0.444444444444444,0.571428571428571,47
"25","Steve Darcis",0.3,0.5,0.333333333333333,61
"26","Yen Hsun Lu",0,0.357142857142857,0,33
"27","Daniil Medvedev",0.447368421052632,0.739864864864865,0.666666666666667,382
"28","Jozef Kovalik",0.342857142857143,0.333333333333333,0,55
"29","Roberto Bautista Agut",0.592592592592593,0.651785714285714,0.702702702702703,342
"30","Albert Ramos",0.587570621468927,0.342592592592593,0.181818181818182,296
"31","Novak Djokovic",0.807692307692308,0.855721393034826,0.952380952380952,347
"32","Horacio Zeballos",0.523809523809524,0.380952380952381,0.25,67
"33","Arthur De Greef",0.2,0.333333333333333,0,8
"34","Radek Stepanek",0,0.6,0,5
"35","David Goffin",0.62962962962963,0.579207920792079,0.636363636363636,305
"36","Fernando Verdasco",0.506666666666667,0.5,0.35,207
"37","Karen Khachanov",0.560975609756098,0.564655172413793,0.657142857142857,349
"38","Ivo Karlovic",0.428571428571429,0.383333333333333,0.444444444444444,99
"39","Jo-Wilfried Tsonga",0.464285714285714,0.614583333333333,0.5,138
"40","Dustin Brown",0.25,0.294117647058824,0.444444444444444,38
"41","Jiri Vesely",0.485294117647059,0.41025641025641,0.608695652173913,169
"42","Tomas Berdych",0.526315789473684,0.615384615384615,0.6,99
"43","Philipp Kohlschreiber",0.523076923076923,0.5,0.421052631578947,174
"44","Nicolas Almagro",0.466666666666667,0.375,0,23
"45","Gerald Melzer",0.476190476190476,0.142857142857143,0,28
"46","Andy Murray",0.631578947368421,0.572727272727273,0.625,153
"47","Malek Jaziri",0.416666666666667,0.434210526315789,0.142857142857143,119
"48","Steve Johnson",0.595238095238095,0.458646616541353,0.529411764705882,209
"49","Ryan Harrison",0.380952380952381,0.521739130434783,0.222222222222222,99
"50","Jeremy Chardy",0.470588235294118,0.513274336283186,0.48,189
"51","Feliciano Lopez",0.409090909090909,0.371134020618557,0.615384615384615,180
"52","Joao Sousa",0.425531914893617,0.427350427350427,0.285714285714286,232
"53","Brydan Klein",0,0.333333333333333,0,4
"54","Robin Haase",0.425,0.474226804123711,0.428571428571429,158
